"Depth" "Time" "X_1" "X_2" "Obs"
28.9 -690167.927933133 0.687834384140818 -1.04154212824662 4.60612354188984
28.8 -687663.965207704 0.689939470158018 -0.962360825847141 4.72969791834429
28.7 -686659.627264409 0.689085835464958 -0.84550966283343 4.6873832211741
28.6 -675523.692517261 0.321496380587196 -1.54057658031512 4.52686183839464
28.5 -674804.637401995 0.362393702383412 -1.43680743783765 4.44437901653461
28.4 -674193.27409812 0.369780739015073 -1.46657565838525 4.65158004061832
28.3 -673405.490536224 0.410016166359706 -1.36928093491869 4.51838049499392
28.2 -667216.642683727 0.201268658858336 -1.44367839426944 4.34232770373976
28.1 -666564.866908797 0.201482560794688 -1.50930155215827 4.41367027773133
28 -664957.52727183 0.201400557212131 -1.63959981765847 4.50382109976082
27.9 -663093.298529125 0.206613513403225 -1.79310246651864 4.32095336732532
27.8 -661725.261674388 0.111344283330405 -1.45177698476128 4.27457037329718
27.7 -657038.849926908 0.225171746065945 -1.63742993467109 4.55945097685538
27.6 -656716.279181187 0.213720083625466 -1.58214107788506 4.38978268302985
27.5 -655830.87662775 0.225843478552806 -1.65386061463429 4.23237423046179
27.4 -654481.247876701 0.187873423589018 -1.45719796003996 4.30798013388416
27.3 -653312.343251992 0.214357940190979 -1.6378646338559 4.43570280327015
27.2 -651423.905420404 0.150901194429904 -1.44169924867812 4.3186055548841
27.1 -649572.385721996 0.189107408082469 -1.71603000600472 4.52454688586608
27 -648602.767422024 0.181019206911985 -1.72660820858415 4.38244808361408
26.9 -647316.475226642 0.254640651948584 -1.60091894664966 4.45494889412353
26.8 -646650.60369109 0.314481708753177 -1.73917129226552 4.49553693475203
26.7 -643558.914532581 0.501789519634616 -1.44089829628568 4.74676730836218
26.6 -641045.980417143 0.498535335015335 -1.0387202415613 4.72160802326633
26.5 -637460.69994674 0.535351632957094 -1.04193289287361 4.50933752876259
26.4 -634400.543244292 0.404627483000661 -1.22167179434824 4.53649789368214
26.3 -629134.763644207 0.546827059470656 -1.44505624096796 4.74967623402889
26.2 -627159.695569372 0.5847231913812 -1.58429400209988 4.76954556342553
26.1 -624911.420213914 0.69953581276366 -1.42174904159507 4.83692592916161
26 -624412.861377518 0.724697442509335 -1.42870872122077 4.78160474873539
25.9 -621879.427321062 0.872625296559583 -1.38168603467826 4.74717483928296
25.8 -620470.52302131 0.958874104037844 -1.15719376865044 5.24157212577013
25.7 -618508.894566008 0.970543247045428 -0.803942329720243 5.02359199588008
25.6 -615572.034511802 0.943687629181092 0.513518595415693 4.80166813751564
25.5 -613542.184907435 0.680285913482187 1.87274973178902 4.76290860786568
25.4 -612349.397355811 0.494526334066582 1.93506824186772 4.57989874258285
25.3 -611983.331750699 0.435421722972722 1.77930528493405 4.64690688150646
25.2 -605780.675383453 -0.489332304939547 1.53143283834324 3.81506555276702
