"Depth" "Time" "X_1" "X_2" "Obs"
20.8 -505612.341367566 0.348175520048316 -1.65985926870801 4.18063904334624
20.7 -502416.269454593 0.466936658978678 -1.47946945784974 4.48489544922051
20.6 -501832.350162904 0.445729333202953 -1.53599416488986 4.4144904209303
20.5 -501481.15431459 0.435679409888559 -1.65010007955832 4.68333237283985
20.4 -500213.312517875 0.340131254017607 -1.50726313041861 4.38189130893042
20.3 -499537.855838197 0.345367903591399 -1.45604784714107 4.54081175595698
20.2 -499028.848657366 0.354154925150966 -1.48634912549171 4.42158423393164
20.1 -492745.362847544 0.489402412091476 -1.53597423475043 4.46400031136015
20 -491619.745391553 0.476093447524243 -1.40710432897873 4.57585367384921
19.9 -490463.031493325 0.446560592927568 -1.67238997105054 4.47640171890975
19.8 -486873.51433792 0.542726833296962 -1.16415463371267 4.64978339563001
19.7 -483622.268951454 0.430528886346286 -1.1876330487563 4.50318428031542
19.6 -482920.534078192 0.428197956868714 -1.35128465188277 4.45502289548082
19.5 -481751.426747256 0.422976849592489 -1.36082708710596 4.57050320692403
19.4 -479752.614408664 0.454348951319066 -1.46767521282147 4.50233921933604
19.3 -476358.342778999 0.729493847406921 -1.32156462812264 4.74888977715822
19.2 -469564.325432935 0.918940002196819 -0.864098866146467 5.05377221164224
19.1 -464981.103203508 0.611132929469824 -0.738758363612983 4.68148330155161
19 -462800.864503184 0.443399227718271 -0.661752476608291 4.48384672964421
18.9 -461572.028869532 0.358004333605185 -0.805892815897042 4.389367699109
18.8 -460551.815197936 0.309059061739839 -1.05190817950072 4.54994110609337
18.7 -459918.31864961 0.334830825676079 -1.14280446025224 4.39282941128486
18.6 -459225.179088896 0.376099723955243 -1.14590120599189 4.57387076539682
18.5 -458114.182703161 0.323203362638139 -1.35764009659617 4.56902230823094
18.4 -452945.964321143 0.420896859831253 -1.39434261596799 4.42470437677837
18.3 -452434.30297167 0.485592565088213 -1.24055091695445 4.6798835060974
18.2 -451212.298769179 0.450357904730873 -1.47895179389901 4.62088939970865
18.1 -447842.530506226 0.326087129918543 -1.10277038697943 4.44679713766247
18 -446251.46194464 0.278914978488624 -1.39028975422489 4.58090789162181
17.9 -445364.744323934 0.379450648849703 -1.38182981953236 4.5782744754593
17.8 -442680.794226922 0.428218687093976 -1.36652804209471 4.73420279335853
17.7 -436725.026049287 0.760389859637409 -1.22860037734476 4.69582010316444
17.6 -433093.029526155 0.857400749013163 -1.10889941235889 4.95203073319435
17.5 -431369.205212105 0.805901366696175 -0.850688786342371 4.79992690679002
17.4 -430724.983028941 0.833634996226034 -0.749805981939043 4.8978399757518
17.3 -430276.143058625 0.826626587231543 -0.774113229715449 4.97831672986353
17.2 -427674.153497046 0.658544554458145 -0.68176817724433 4.61341035820869
17.1 -424031.403746129 0.547820235739913 -0.284724714508271 4.50081833930584
17 -422547.116294538 0.47760110134151 -0.0382394202552305 4.56417285556549
16.9 -421093.049745967 0.421211096990787 0.251827863684526 4.39093065613116
16.8 -414703.268952453 -0.453722948620352 1.4850172547588 3.7406930490779
16.7 -414042.827865485 -0.539264174850731 1.54669118129033 3.79681206157518
16.6 -403271.803706622 -0.834094839170052 -2.03326437111739 3.8075494468853
16.5 -401450.615124576 -0.742398513654088 -2.09024077497132 3.61996760851428
16.4 -399707.808976668 -0.730704410813613 -1.9712402375428 3.67702108624038
16.3 -381032.796992956 0.208087848587945 -1.63674147408838 4.31855358408227
16.2 -371120.835295334 0.0688900734654047 -1.74327539052867 4.42791262913888
16.1 -370361.178084808 -0.0454033105682402 -1.80648991740342 4.23893759113713
16 -365294.188914173 -0.192387205884823 -1.88665284981653 4.22745021630384
15.9 -360062.202506465 -0.124521371568294 -1.8829454546314 4.26839438294636
15.8 -358659.171834769 -0.0857667267110946 -1.7268781442793 4.17142788528762
15.7 -357252.868642907 -0.0614571587761536 -1.85150162690595 4.15126142161216
15.6 -356701.44613182 -0.0658247359692954 -1.84999269677154 4.03324391854341
15.5 -352686.341308284 0.171525523712977 -1.74031160034345 4.44542614928084
15.4 -351585.206726258 0.240501773493212 -1.81335746475831 4.48535005811944
15.3 -348860.926800767 0.671957685716127 -1.61179946166947 4.8297058979072
